Projeto;Autor;Autor_isolado;Ementa;Assunto;Indicado_por;Quem_avaliou;Qual_avaliacao;Tem_outros_autores;Situacao;Analise
PL 4357/2001;Telma de Souza ;TELMA DE SOUZA;;;ISA;ISA;Favorável;;;
PLS 175/2014;Vanessa Grazziotin;VANESSA GRAZZIOTIN;;;ISA;ISA;Favorável;;;
PLS 16/2013;Kátia Abreu;KÁTIA ABREU;;;ISA;ISA;Desfavorável;;;
PL 4620/2012;Amauri Teixeira (PT/BA);AMAURI TEIXEIRA;;;ISA;ISA;Favorável;Sim;;
PL 4620/2012;Benedita da Silva (PT/RJ);BENEDITA DA SILVA;;;ISA;ISA;Favorável;Sim;;
PL 4620/2012;Janete Rocha Pietá (PT/SP);JANETE ROCHA PIETÁ;;;ISA;ISA;Favorável;SIm;;
PL 4620/2012;Luiz Alberto (PT/BA);LUIZ ALBERTO;;;ISA;ISA;Favorável;Sim;;
PL 4620/2012;Vicentinho (PT/SP);VICENTINHO;;;ISA;ISA;Favorável;Sim;;
PL 4620/2012;Edson Santos (PT/RJ);EDSON SANTOS;;;ISA;ISA;Favorável;SIm;;
PL 7575/2006;Tasso Jereissati;TASSO JEREISSATI;;;ISA;ISA;Favorável;;;
PLS 182/2013 ;Rodrigo Rollemberg;RODRIGO ROLLEMBERG;;;ISA;ISA;Favorável;;;
PLC 119/2013;Presidente da República;PRESIDENTE DA REPÚBLICA;;;ISA;ISA;Indefinido;;;
PDC 81/2015;Max Filho;MAX FILHO;;;ISA;ISA;Desfavorável;;;
PDC 809/2012;Antonio Carlos Mendes Thame;ANTONIO CARLOS MENDES THAME;;;ISA;ISA;Desfavorável;;;
PDC 809/2012;Reinaldo Azambuja;REINALDO AZAMBUJA;;;ISA;ISA;Desfavorável;;;
PL 6432/2013;Ivan Valente;IVAN VALENTE;;;ISA;ISA;Favorável;;;
PL 5135/2016;Nelson Marchezan Junior;NELSON MARCHEZAN JUNIOR;;;ISA;ISA;Favorável;;;
PL 312/2015;Rubens Bueno;RUBENS BUENO;;;ISA;ISA;Favorável;;;
PLP 493/2009;Antonio Carlos Mendes Thame;ANTONIO CARLOS MENDES THAME;;;ISA;ISA;Favorável;;;
PEC 92/2015 ;Senado (Senador Roberto Rocha (PSB/MA));ROBERTO ROCHA;;;ISA;ISA;Favorável;Sim;;
PLS 276/2013 ;Blairo Maggi;BLAIRO MAGGI;;;ISA;ISA;Indefinido;;;
PL 5192/2016;Paulo Bauer;PAULO BAUER;;;ISA;ISA;Indefinido;;;
PL 2457/2011;Marcelo Crivella;MARCELO CRIVELLA;;;ISA;ISA;Favorável;;;
PLP 73/2007;Antonio Carlos Mendes Thame;ANTONIO CARLOS MENDES THAME;;;ISA;ISA;Favorável;;;
PLP 73/2007;Luiz Carlos Hauly;LUIZ CARLOS HAULY;;;ISA;ISA;Favorável;;;
PL 792/2007;Anselmo de Jesus;ANSELMO DE JESUS;;;ISA;ISA;Favorável;;;
PEC 31/2007;Virgílio Guimarães;VIRGÍLIO GUIMARÃES;;;ISA;ISA;Indefinido;;;
PL 1739/2007;Paulo Teixeira (PT/SP);PAULO TEIXEIRA;;;ISA;ISA;Favorável;Sim;;
PL 1739/2007;Zezéu Ribeiro (PT/BA);ZEZÉU RIBEIRO;;;ISA;ISA;Favorável;Sim;;
PL 1739/2007;Nilson Pinto (PSDB/PA);NILSON PINTO;;;ISA;ISA;Favorável;Sim;;
PL 1739/2007;Pedro Wilson (PT/GO);PEDRO WILSON;;;ISA;ISA;Favorável;Sim;;
PL 1739/2007;Luis Carlos Heinze (PP/RS);LUIS CARLOS HEINZE;;;ISA;ISA;Favorável;Sim;;
PL 1739/2007;Ricardo Izar (PTB/SP);RICARDO IZAR;;;ISA;ISA;Favorável;Sim;;
PL 1062/2007;Antonio Carlos Mendes Thame ;ANTONIO CARLOS MENDES THAME;;;ISA;ISA;Desfavorável;;;
PL 522/2007;Beto Faro ;BETO FARO;;;ISA;ISA;Favorável;;;
PL 5974/2005;Waldeck Ornelas;WALDECK ORNELAS;;;ISA;ISA;Favorável;;;
PL 630/2003;Roberto Gouveia ;ROBERTO GOUVEIA;;;ISA;ISA;Favorável;;;
PL 3801/1989;Francisco Rollemberg;FRANCISCO ROLLEMBERG;;;ISA;ISA;Favorável;;;
PLS 272/2016;Lasier Martins ;LASIER MARTINS;;;ISA;ISA;Desfavorável;;;
PL 5065/2016;Delegado Edson Moreira ;DELEGADO EDSON MOREIRA;;;ISA;ISA;Desfavorável;;;
PL 215/2015;Hildo Rocha ;HILDO ROCHA;;;ISA;ISA;Desfavorável;;;
