Projeto;Autor;Autor_isolado;Ementa;Assunto;Indicado_por;Quem_avaliou;Qual_avaliacao;Tem_outros_autores;Situacao;Analise
PL 5422/2005;Lael Varella – PFL/MG;LAEL VARELLA;;;;CPT;Desfavorável;;"Aguardando Designação de Relator na Comissão de Constituição e Justiça e de Cidadania (CCJC). Essa PL apensou outros PLs: 5946/2005; PL 7031/2006; PL 5561/2009; PL 6450/2009; PL 1016/2011; PL 301/2015";"Visa “congelar” os índices e parâmetro de produtividade por um largo período, com o objetivo de proteger o latifúndio improdutivo de desapropriações para fins de Reforma Agrária. Ataca a Lei Agrária de 1993 que determina que “os parâmetros, índices e indicadores que informam o conceito de produtividade serão ajustados, periodicamente, de modo a levar em conta o progresso científico e tecnológico da agricultura e o desenvolvimento regional...”; e visa barrar o PL 5946 que data em período não superior a cinco anos à revisão dos índices de produtividade, relaxar a exigência dos índices de produtividade, relativiza e subjetiva o estatuto jurídico da função social da terra. "
PL 7485/2006;Comissão Parlamentar Mista de Inquérito da Reforma Agrária e Urbana;COMISSÃO PARLAMENTAR MISTA DE INQUÉRITO DA REFORMA AGRÁRIA E URBANA;;;;CPT;Desfavorável;;Pronta para Pauta no Plenário;Ataque direto ao direito de manifestação política da sociedade civil. O texto do PL enfatiza as ações contestatórias dos movimentos sociais rurais, sobretudo do MST, tipificando-as como ato terrorista. Dessa forma criminaliza os movimentos sociais de luta pela terra (e por moradia). Na ementa do PL encontra-se a noção de que toda ação de contestação da propriedade privada objetiva pressionar o governo, dando um sentido amplo à ação, deixando aberto, ao bel prazer, a possibilidade do judiciário enquadrar ações contestatórias como ato de terrorismo.
PL 5459/2009;Senador Raimundo Colombo – DEM/SC;RAIMUNDO COLOMBO;;;;CPT;Desfavorável;;Pronta para Pauta no Plenário;Embora o referido PL não atinja as desapropriações de imóveis rurais que possuam os requisitos para desapropriação por interesse social, estes desapropriados por Títulos da Dívida Agrária (TDA), a proposta direciona-se a compra de terras para Reforma Agrária com pagamento em dinheiro. Segundo texto do PL o governo pode comprar, em dinheiro e à vista, imóveis que não cumpram os requisitos básicos para desapropriação para realização da RA. Além disso, o PL cria condições mais favoráveis para o resgate de TDA, reduzindo prazos e fixando juros remuneratórios mais atrativos. Essa proposta visa dificultar a realização da Reforma Agrária, pois, ao mudar os determinantes financeiros para a efetivação de assentamentos rurais, amplia os gastos públicos, onerando e limitando o Estado Federal a partir do orçamento. Além disso, o PL não penaliza a concentração de terra e o latifúndio improdutivo.
PL 6480/2009;Moreira Mendes – PPS/RO;MOREIRA MENDES;;;;CPT;Desfavorável;;PL 8292/2014 foi apensado a esse PL. Pronta para Pauta no Plenário;Esse PL é um passo à frente no processo de criminalização dos movimentos sociais, tentando amedrontar e criminalizar todos os envolvidos em processo de desapropriação. Tenta transformar em Lei a Medida Provisória 2183 de 2000, conhecida como MP anti-invasão, a qual impede de desapropriação todo o imóvel que tenha sido motivo de contestação por ocupação. Além disso, o PL tenta determinar que caso não se cumpra a lei anti-invasão, realizando-se vistoria, os funcionários do Incra sejam enquadrados no Código Penal: “deverá ser apurada a responsabilidade civil e administrativa de quem concorra com qualquer ato omissivo ou comissivo”. Caso seja realizada vistoria no imóvel “invadido”, o funcionário será enquadrado como falsificador de documento público tipificado no art. 297 do Código Penal. Ainda, o PL determina a disponibilização na Internet de todos os dados da Reforma Agrária, talvez como uma forma de intimidação ao INCRA e como forma de ter todas as informações da Reforma Agrária.
PLS 251/2010;Senadora Kátia Abreu – PMDB/TO;KÁTIA ABREU;;;;CPT;Desfavorável;;Aguardando designação do relator.;O PLS tenta garantir a qualquer custo a intocabilidade da propriedade privada da terra e dificultar a realização da Reforma Agrária. Ao obrigar um Governador de Estado a executar mandato judicial de reintegração de posse em até 15 dias, os governos, mesmo os mais progressistas no que diz respeito à realização da reforma agrária ou urbana, ficam ameaçados com esse PLS, fragilizando o poder de negociação com os movimentos sociais que produzem ações de ocupação.
PLS 467/2011;Senador Ataídes Oliveira – PSDB/TO;ATAÍDES OLIVEIRA;;;;CPT;Desfavorável;;Matéria com a Relatoria;PLS produzirá cortes orçamentários no INCRA, ampliando o já propalado processo de sucateamento desse órgão federal. A contribuição é de 0,2% das empresas que trata o art 3º do Decreto-Lei 1146/1970, sendo que sua extinção significaria menos recursos para a realização de um sem número de ações do INCRA, tipo: desapropriação de terras, acompanhamento nos projetos de assentamento, terras indígenas e quilombolas.
PLS 310/2012;Senador Pedro Taques –PDT/MT;PEDRO TAQUES;;;;CPT;Desfavorável;;Pronta para Pauta na Comissão de Assuntos Econômicos.;Este projeto objetiva, a um só tempo, defender e privilegiar o proprietário de terra desapropriada por utilidade pública ou fins de Reforma Agrária. A fixação de “juros compensatórios tem por destinação compensar a perda de renda pelo proprietário, efetiva ou potencial, de modo que a mera ausência de exploração econômica de área desapropriada, ou de parte dela, não impede sua incidência...” A proposta enfatiza que a não existência de tais juros significa uma dupla punição ao proprietário do imóvel e que imóveis improdutivos devem ser garantidos por esses juros compensatórios. Dessa forma, o Estado necessitaria de mais recursos para a realização de desapropriações, o que limitaria a realização da Reforma Agrária.
PL 3842/2012;Moreira Mendes – PSD/RO;MOREIRA MENDES;;;;CPT;Desfavorável;;Aprovado na Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural. Esse PL esta apensado ao PL 5016/2005 com o objetivo de desvirtuar a proposta de agravamento dos crimes.;Essa ação é uma tentativa desumana de proteger as propriedades rurais onde sejam encontrados trabalhadores em situações análogas a escravidão. O PL redefine o conceito de trabalho escravo retirando os termos “jornada exaustiva” e condições degradantes de trabalho” do seu enquadramento criminal. Com isso, dificulta-se a expropriação das fazendas com essas ocorrências para fins de reforma agrária e garante a exploração desumana do trabalhador.
PLS 208/2012;Senador Blairo Maggi – PP/MT;SENADOR BLAIRO MAGGI;;;;CPT;Desfavorável;;Aguardando Inclusão ordem do dia de requerimento.;"Embora sob o discurso da modernização das relações de trabalho, o PLS 208 quer legalizar as jornadas de trabalho até 12 horas; permitir a terceirização do trabalho rural em serviços que dependem de maquinário e a recontratação do mesmo trabalhador em novos contratos. Ainda visa não considerar o tempo gasto entre a residência do trabalhador em seu local de trabalho como parte da jornada de trabalho, caso o transporte for fornecido pelo empregador, ou seja, o PL quer ampliar os níveis de exploração do trabalhador. "
PEC 45/2013;Senado (Senadora Kátia Abreu (PMDB/TO));KÁTIA ABREU;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PL 8212/2014;André de Paula – PSD/PE;ANDRÉ DE PAULA;;;;CPT;Desfavorável;;Aguardando Parecer do relator na Comissão de Meio Ambiente e Desenvolvimento (CMADS).;Caso esse PL entre em vigor, encarecerá o processo desapropriatório, certamente limitando e bloqueando o papel do Estado de realizar a Reforma Agrária. O PL tenta integrar ao preço da terra, no ato de desapropriação, o valor das “florestas naturais, matas nativas e qualquer outro tipo de vegetação natural, desde que haja plano de manejo, devidamente aprovado pela autoridade competente”. Essa proposta vai contra o procedimento do INCRA que considera que a áreas de preservação ambiental (reserva legal e preservação permanente) não cabem indenização e que qualquer valor atribuído a ela viola o princípio do preço justo.
PL 1201/2015;Irajá Abreu – PSD/TO;IRAJÁ ABREU;;;;CPT;Desfavorável;;Aguardando designação de relator na Comissão de Constituição e Justiça e de Cidadania.;Talvez essa seja uma das estratégias mais cômica para barrar a desapropriação para fins de Reforma Agrária. Os ruralistas, cientes de que o campesinato brasileiro é migrante e que os militantes de movimentos sociais são provenientes de diferentes regiões e estados, buscam gerar mais um obstáculo à materialização de assentamentos rurais, ao tentarem determinar que: “integrarão a clientela de trabalhadores rurais para fins de assentamento em projetos de reforma agrária somente aqueles que tiverem domicílio eleitoral no município em que for criado o assentamento”. Os ruralistas usam como argumento que o assentamento, “ocupados por forasteiros”, sobrecarrega o poder público municipal no que diz respeito ao sistema de saúde e educacional.
RCP 13/2015;Ricardo Izar – PSD/SP;RICARDO IZAR;;;;CPT;Desfavorável;;Aprovado requerimento do Sr. Valdir Colatto que requer Audiência Pública.;Até as ações parlamentares que a principio não tocam no tema da questão agrária e dos direitos dos povos do campo, podem tomar o rumo de ataques aos movimentos sociais que lutam pela reforma agrária. Essa CPI, até o momento, centrou esforços em criminalizar o MST por maus tratos com animais em uma fazenda próxima a Marabá/PA.
RCP 16/2015;Alceu Moreira (PMDB/RS);ALCEU MOREIRA;;;;CPT;Desfavorável;Sim;"RCP 16/2015 foi extinta, mas rapidamente recriada através da RCP 26/2016. Aguardando instalação de comissão temporária. Aguardando Despacho do Presidente da Câmara dos Deputados; Aguardando Constituição de Comissão Temporária pela Mesa.";"Junto com a PEC 215/2000 a CPI constitui um bloco de ataques contra os direitos e organizações das comunidades indígenas e quilombolas. A CPI, montada sem fato determinado para a investigação e ferindo norma constitucional, visa pressionar e amedrontar as instituições envolvidas na garantia dos direitos indígenas e quilombolas. Acusa a FUNAI e o INCRA de atuação abusiva, as ONGs envolvidas e os departamentos de Antropologia das Universidades de tendenciosos e acusa que todos estes órgãos são apoiados pelo Ministério Público Federal. Ainda qualifica os laudos antropológicos como viciados, como um “mero laudo técnico, unilateral, ideologizado e arbitrário”; e acusa o processo de reconhecimento das terras como uma “afronta a ampla defesa, o contraditório, e a igualdade”. Também cogita os institutos de “autodefinição” e da “autoindicação” para as terras quilombolas, objetivando dificultar o reconhecimento dessas. Como forma de pressão, foi aprovada a quebra de sigilo bancário do Conselho Indigenista Missionário e da Associação Brasileira de Antropologia."
RCP 16/2015;Luis Carlos Heinze (PP-RS);LUIS CARLOS HEINZE;;;;CPT;Desfavorável;Sim;"RCP 16/2015 foi extinta, mas rapidamente recriada através da RCP 26/2016. Aguardando instalação de comissão temporária. Aguardando Despacho do Presidente da Câmara dos Deputados; Aguardando Constituição de Comissão Temporária pela Mesa.";"Junto com a PEC 215/2000 a CPI constitui um bloco de ataques contra os direitos e organizações das comunidades indígenas e quilombolas. A CPI, montada sem fato determinado para a investigação e ferindo norma constitucional, visa pressionar e amedrontar as instituições envolvidas na garantia dos direitos indígenas e quilombolas. Acusa a FUNAI e o INCRA de atuação abusiva, as ONGs envolvidas e os departamentos de Antropologia das Universidades de tendenciosos e acusa que todos estes órgãos são apoiados pelo Ministério Público Federal. Ainda qualifica os laudos antropológicos como viciados, como um “mero laudo técnico, unilateral, ideologizado e arbitrário”; e acusa o processo de reconhecimento das terras como uma “afronta a ampla defesa, o contraditório, e a igualdade”. Também cogita os institutos de “autodefinição” e da “autoindicação” para as terras quilombolas, objetivando dificultar o reconhecimento dessas. Como forma de pressão, foi aprovada a quebra de sigilo bancário do Conselho Indigenista Missionário e da Associação Brasileira de Antropologia."
RCP 16/2015;Deputado Federal Nilson Leitão (PSDB-MT);NILSON LEITÃO;;;;CPT;Desfavorável;Sim;"RCP 16/2015 foi extinta, mas rapidamente recriada através da RCP 26/2016. Aguardando instalação de comissão temporária. Aguardando Despacho do Presidente da Câmara dos Deputados; Aguardando Constituição de Comissão Temporária pela Mesa.";"Junto com a PEC 215/2000 a CPI constitui um bloco de ataques contra os direitos e organizações das comunidades indígenas e quilombolas. A CPI, montada sem fato determinado para a investigação e ferindo norma constitucional, visa pressionar e amedrontar as instituições envolvidas na garantia dos direitos indígenas e quilombolas. Acusa a FUNAI e o INCRA de atuação abusiva, as ONGs envolvidas e os departamentos de Antropologia das Universidades de tendenciosos e acusa que todos estes órgãos são apoiados pelo Ministério Público Federal. Ainda qualifica os laudos antropológicos como viciados, como um “mero laudo técnico, unilateral, ideologizado e arbitrário”; e acusa o processo de reconhecimento das terras como uma “afronta a ampla defesa, o contraditório, e a igualdade”. Também cogita os institutos de “autodefinição” e da “autoindicação” para as terras quilombolas, objetivando dificultar o reconhecimento dessas. Como forma de pressão, foi aprovada a quebra de sigilo bancário do Conselho Indigenista Missionário e da Associação Brasileira de Antropologia."
RCP 16/2015;Valdir Colatto (PMDB-SC);VALDIR COLATTO;;;;CPT;Desfavorável;Sim;"RCP 16/2015 foi extinta, mas rapidamente recriada através da RCP 26/2016. Aguardando instalação de comissão temporária. Aguardando Despacho do Presidente da Câmara dos Deputados; Aguardando Constituição de Comissão Temporária pela Mesa.";"Junto com a PEC 215/2000 a CPI constitui um bloco de ataques contra os direitos e organizações das comunidades indígenas e quilombolas. A CPI, montada sem fato determinado para a investigação e ferindo norma constitucional, visa pressionar e amedrontar as instituições envolvidas na garantia dos direitos indígenas e quilombolas. Acusa a FUNAI e o INCRA de atuação abusiva, as ONGs envolvidas e os departamentos de Antropologia das Universidades de tendenciosos e acusa que todos estes órgãos são apoiados pelo Ministério Público Federal. Ainda qualifica os laudos antropológicos como viciados, como um “mero laudo técnico, unilateral, ideologizado e arbitrário”; e acusa o processo de reconhecimento das terras como uma “afronta a ampla defesa, o contraditório, e a igualdade”. Também cogita os institutos de “autodefinição” e da “autoindicação” para as terras quilombolas, objetivando dificultar o reconhecimento dessas. Como forma de pressão, foi aprovada a quebra de sigilo bancário do Conselho Indigenista Missionário e da Associação Brasileira de Antropologia."
RCP 16/2015;Marcos Montes (PSD-MG);MARCOS MONTES;;;;CPT;Desfavorável;Sim;"RCP 16/2015 foi extinta, mas rapidamente recriada através da RCP 26/2016. Aguardando instalação de comissão temporária. Aguardando Despacho do Presidente da Câmara dos Deputados; Aguardando Constituição de Comissão Temporária pela Mesa.";"Junto com a PEC 215/2000 a CPI constitui um bloco de ataques contra os direitos e organizações das comunidades indígenas e quilombolas. A CPI, montada sem fato determinado para a investigação e ferindo norma constitucional, visa pressionar e amedrontar as instituições envolvidas na garantia dos direitos indígenas e quilombolas. Acusa a FUNAI e o INCRA de atuação abusiva, as ONGs envolvidas e os departamentos de Antropologia das Universidades de tendenciosos e acusa que todos estes órgãos são apoiados pelo Ministério Público Federal. Ainda qualifica os laudos antropológicos como viciados, como um “mero laudo técnico, unilateral, ideologizado e arbitrário”; e acusa o processo de reconhecimento das terras como uma “afronta a ampla defesa, o contraditório, e a igualdade”. Também cogita os institutos de “autodefinição” e da “autoindicação” para as terras quilombolas, objetivando dificultar o reconhecimento dessas. Como forma de pressão, foi aprovada a quebra de sigilo bancário do Conselho Indigenista Missionário e da Associação Brasileira de Antropologia."
PL 6532/2016;Nivaldo Albuquerque – PRP/AL ;NIVALDO ALBUQUERQUE;;;;CPT;Desfavorável;;Proposição sujeita apreciação no plenário.  ;Essa recente proposição de Lei visa fortalecer outros 22 PLs que versam sobre o mesmo tema, que é: criminalizar os protestos dos movimentos sociais, sobretudo as ações dos movimentos sociais camponeses, que usam estratégia de bloqueio de rodovia como forma de protesto, divulgação da luta e sensibilização social.  
PDCs/2016  ;Jerônimo Goergen – PP/RS;JERÔNIMO GOERGEN;;;;CPT;Desfavorável;;"Distribuídos nas Comissões de Direitos Humanos; de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural; e de Constituição, Justiça e Cidadania. ";Os 29 PDCs mostram a sanha violenta e destrutiva da Bancada Ruralista frente às conquistas dos povos do campo. Reverter os últimos atos da Presidenta Dilma Rousseff no que diz respeito à desapropriação de terras para assentamentos rurais e homologações de áreas indígenas e quilombolas, usando o argumento de que foram atos politiqueiros assinados poucos dias antes do “impeachment”, é um argumento rasteiro, inconsistente e descolado da realidade política nacional, indicando que a bancada ruralista atuará em todas as dimensões institucionais para atacar os direitos dos povos do campo. 
